Estacao;Data;Hora;Precipitacao;Temp Comp Media;
83914;01/01/2017;0000;;23.18;
83914;01/01/2017;1200;34.4;;
83914;02/01/2017;0000;;23.76;
83914;02/01/2017;1200;5.4;;
83914;03/01/2017;0000;;24.92;
83914;03/01/2017;1200;0;;
83914;04/01/2017;0000;;23.76;
83914;04/01/2017;1200;0;;
83914;05/01/2017;0000;;22.16;
83914;05/01/2017;1200;10.2;;
83914;06/01/2017;0000;;21.36;
83914;06/01/2017;1200;39;;
83914;07/01/2017;0000;;21.74;
83914;07/01/2017;1200;2.3;;
83914;08/01/2017;0000;;23.98;
83914;08/01/2017;1200;38;;
83914;09/01/2017;0000;;22;
83914;09/01/2017;1200;14.6;;
83914;10/01/2017;0000;;20.22;
83914;10/01/2017;1200;11.8;;
83914;11/01/2017;0000;;22.1;
83914;11/01/2017;1200;1.5;;
83914;12/01/2017;0000;;22.9;
83914;12/01/2017;1200;0;;
83914;13/01/2017;0000;;24.4;
83914;13/01/2017;1200;0;;
83914;14/01/2017;0000;;24.48;
83914;14/01/2017;1200;0;;
83914;15/01/2017;0000;;24.68;
83914;15/01/2017;1200;0;;
83914;16/01/2017;0000;;22.84;
83914;16/01/2017;1200;0.4;;
83914;17/01/2017;0000;;22.68;
83914;17/01/2017;1200;0.3;;
83914;18/01/2017;0000;;22.8;
83914;18/01/2017;1200;2.7;;
83914;19/01/2017;0000;;22.7;
83914;19/01/2017;1200;2;;
83914;20/01/2017;0000;;22.5;
83914;20/01/2017;1200;0;;
83914;21/01/2017;0000;;22.46;
83914;21/01/2017;1200;0;;
83914;22/01/2017;0000;;22.16;
83914;22/01/2017;1200;0;;
83914;23/01/2017;0000;;21.64;
83914;23/01/2017;1200;9.2;;
83914;24/01/2017;0000;;22.32;
83914;24/01/2017;1200;26.8;;
83914;25/01/2017;0000;;19.38;
83914;25/01/2017;1200;6.9;;
83914;26/01/2017;0000;;18.34;
83914;26/01/2017;1200;5.4;;
83914;27/01/2017;0000;;18.54;
83914;27/01/2017;1200;0;;
83914;28/01/2017;0000;;21.98;
83914;28/01/2017;1200;0;;
83914;29/01/2017;0000;;21.4;
83914;29/01/2017;1200;0;;
83914;30/01/2017;0000;;21.44;
83914;30/01/2017;1200;2.3;;
83914;31/01/2017;0000;;20.82;
83914;31/01/2017;1200;0;;
83914;01/02/2017;0000;;20.72;
